Unnamed: 0,sku,national_inv,lead_time,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1001,3362071,0,12,5,7,2,5,6,6,0,No,0,0.57,0.68,0,No,No,No,Yes,No,Yes
1002,3362095,-13,8,93,128,17,81,89,91,4,No,0,0.99,0.96,17,No,No,No,Yes,No,Yes
1003,3362448,35,0,204,252,27,106,202,296,55,No,0,0,0,0,No,No,Yes,No,No,Yes
1004,3362588,75,52,468,648,43,159,362,430,47,No,0,0.83,0.9,0,Yes,No,Yes,No,No,Yes
1005,3362693,5,12,107,151,6,66,103,132,13,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1006,3362891,4,8,35,42,14,33,59,81,4,No,0,0.79,0.87,0,No,No,No,Yes,No,Yes
1007,3362901,12,8,48,66,7,35,70,99,0,No,0,0.76,0.84,0,No,No,No,Yes,No,Yes
1008,3362992,3,3,72,120,20,52,84,103,0,No,0,1,1,0,No,No,No,Yes,No,Yes
1009,3363021,2,8,0,0,2,7,10,16,0,No,0,0.93,0.95,0,No,No,No,Yes,No,Yes
1010,3363041,0,3,2,3,1,1,2,2,2,No,0,0.1,0.68,0,No,No,No,Yes,No,Yes
1011,3363104,5,2,4,4,2,4,4,4,0,No,0,0.53,0.46,0,Yes,No,No,Yes,No,Yes
1012,3363118,6,8,18,28,3,9,16,27,0,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
1013,3363176,15,2,0,0,1,2,5,5,2,No,0,0.99,0.97,0,No,No,No,Yes,No,Yes
1014,3363570,8,8,40,60,8,12,25,42,2,No,0,0.98,0.97,0,No,No,No,Yes,No,Yes
1015,3363737,-1,8,50,70,3,20,51,66,3,No,0,0.18,0.33,1,No,No,No,Yes,No,Yes
1016,3363757,5,2,10,10,11,25,40,52,17,No,0,0.85,0.83,0,No,No,No,Yes,No,Yes
1017,3363820,3,8,7,7,2,4,7,7,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1018,3363920,0,9,22,27,5,13,20,27,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1019,3364142,2,2,8,12,1,5,9,10,1,No,0,0.98,0.97,0,No,No,No,Yes,No,Yes
1020,3364225,3,8,44,52,5,20,44,70,7,No,0,0.15,0.1,0,No,No,No,Yes,No,Yes
1021,3364266,1,2,0,0,0,0,0,0,0,No,0,0.53,0.53,0,No,No,No,Yes,No,Yes
1022,3364342,5,8,0,0,7,10,11,13,3,No,0,0.96,0.89,0,No,No,No,Yes,No,Yes
1023,3364521,137,0,718,998,157,522,775,815,346,No,0,-99,0,0,No,No,No,No,No,Yes
1024,3364607,11,8,88,114,6,32,67,104,2,No,0,0.41,0.46,0,No,No,No,Yes,No,Yes
1025,3364671,0,8,6,8,1,2,5,7,0,No,0,0.08,0.26,0,No,No,No,Yes,No,Yes
1026,3364759,3,2,20,20,2,3,5,7,0,No,0,0.5,0.52,0,Yes,No,No,No,No,Yes
1027,3364771,0,8,24,36,3,9,18,29,0,No,0,0,0,0,No,No,No,Yes,No,Yes
1028,3364872,0,8,14,20,0,5,16,27,5,No,0,0.8,0.79,0,No,No,No,Yes,No,Yes
1029,3364937,0,12,13,17,5,7,12,15,0,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1030,3364966,14,2,30,45,3,13,21,29,0,No,0,0.73,0.76,0,No,No,Yes,Yes,No,Yes
1031,3365133,37,2,120,192,0,68,127,170,18,No,0,0.97,0.89,0,No,No,No,Yes,No,Yes
1032,3365278,2,2,150,150,32,44,45,50,3,No,0,0.61,0.66,0,Yes,No,No,Yes,No,Yes
1033,3365692,3,9,24,29,4,8,13,25,4,No,0,0.7,0.66,0,No,No,No,Yes,No,Yes
1034,3365812,12,8,366,596,35,141,325,427,40,No,0,0.31,0.2,2,No,No,No,Yes,No,Yes
1035,3365826,0,12,5,6,0,2,3,4,0,No,0,0.57,0.68,0,No,No,No,Yes,No,Yes
1036,3365843,1,8,2,3,1,2,8,8,0,No,0,0.82,0.84,0,No,No,No,Yes,No,Yes
1037,3365914,3,2,98,112,23,66,67,68,24,No,0,0.03,0.1,0,No,No,No,Yes,No,Yes
1038,3366420,172,12,0,0,15,37,51,54,0,No,0,0.94,0.87,0,No,No,No,Yes,No,Yes
1039,3366454,3,8,2,4,1,2,2,5,0,No,0,0.96,0.96,0,No,No,No,Yes,No,Yes
1040,3366553,2,8,26,26,2,6,15,28,2,No,0,0.98,0.98,0,No,No,No,Yes,No,Yes
1041,3366591,-2,12,22,28,7,17,29,41,0,No,0,0.77,0.73,2,No,No,No,Yes,No,Yes
1042,3366621,0,12,7,10,2,6,8,11,0,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1043,3366717,1,9,9,12,1,3,5,6,0,No,0,0,0,0,No,No,No,Yes,No,Yes
1044,3366751,8,8,208,260,26,80,142,202,31,No,0,0.94,0.92,1,No,No,No,Yes,No,Yes
1045,3366849,0,2,10,10,3,3,5,5,0,No,0,0.04,0.03,0,Yes,No,No,Yes,No,Yes
1046,3366870,1,8,10,16,4,10,12,14,0,No,0,0.84,0.87,0,No,No,No,Yes,No,Yes
1047,3367121,9,8,9,18,1,4,12,16,10,No,0,0.95,0.77,0,No,No,No,Yes,No,Yes
1048,3367370,0,9,20,20,4,6,18,24,0,No,0,0.7,0.66,0,No,No,Yes,Yes,No,Yes
1049,3367405,6,8,48,64,6,21,38,57,0,No,0,0.86,0.88,0,No,No,Yes,Yes,No,Yes
1050,3367558,11,8,0,0,11,61,79,80,13,No,0,0.9,0.92,0,No,No,No,Yes,No,Yes
1051,3367560,0,8,5,6,4,7,11,20,1,No,0,0.96,0.96,0,No,No,No,Yes,No,Yes
1052,3367630,0,8,3,4,1,2,2,3,0,No,0,0.87,0.82,0,No,No,No,Yes,No,Yes
1053,3367740,7,8,1,4,3,8,13,29,2,No,0,0.96,0.96,0,No,No,No,Yes,No,Yes
1054,3367848,7,2,50,50,4,8,16,20,0,No,0,0.9,0.92,0,No,No,No,Yes,No,Yes
1055,3368013,0,12,0,0,1,4,7,7,16,No,0,1,0.99,0,Yes,No,No,No,No,Yes
1056,3368079,0,12,8,8,0,1,3,9,0,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1057,3368253,10,8,15,29,6,9,18,31,4,No,0,0.79,0.79,0,No,No,No,Yes,No,Yes
1058,3368282,1243,8,6746,10506,884,3335,6514,8933,889,No,0,0.79,0.71,0,No,No,Yes,Yes,No,Yes
1059,3368290,0,8,57,78,9,27,48,71,0,No,0,0.37,0.34,0,No,No,No,Yes,No,Yes
1060,3368475,0,8,3,3,0,0,0,1,0,No,0,0,0.07,0,No,No,No,Yes,No,Yes
1061,3368559,1,8,45,60,6,17,17,34,3,No,0,0.72,0.69,0,No,No,No,Yes,No,Yes
1062,3368566,11,2,28,28,1,11,21,27,6,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
1063,3368834,-3,8,24,32,1,23,27,31,1,No,0,0.99,0.97,3,No,No,No,Yes,No,Yes
1064,3368869,7,8,0,3,11,13,17,22,2,No,0,0.97,0.96,0,No,No,No,Yes,No,Yes
1065,3369077,10,8,22,37,9,20,41,69,0,No,0,0.35,0.36,0,No,No,No,Yes,No,Yes
1066,3369120,13,8,33,48,9,17,28,48,5,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1067,3369326,0,8,10,15,0,0,0,0,0,No,0,1,0.98,0,No,No,No,Yes,No,Yes
1068,3369441,1,2,44,60,11,26,38,39,1,No,0,0.78,0.75,0,No,No,No,Yes,No,Yes
1069,3369633,12,0,0,0,0,2,7,12,1,No,0,0,0,0,No,No,Yes,No,No,Yes
1070,3369635,6,9,40,40,6,22,41,62,7,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1071,3369707,3,2,0,0,0,0,2,2,0,No,0,0.73,0.76,0,Yes,No,No,Yes,No,Yes
1072,3369735,19,2,52,78,7,23,73,116,0,No,0,0.9,0.93,0,No,No,Yes,Yes,No,Yes
1073,3369777,6,2,8,12,2,5,15,18,2,No,0,0.22,0.14,0,No,No,No,Yes,No,Yes
1074,3369889,3,2,27,27,0,0,0,0,1,No,0,0,0,0,Yes,No,No,Yes,No,Yes
1075,3370161,2,8,23,31,6,16,21,43,1,No,0,0.92,0.89,0,No,No,No,Yes,No,Yes
1076,3370286,2,2,6,10,4,7,11,20,2,No,0,1,0.99,0,No,No,No,Yes,No,Yes
1077,3370430,9,9,1,1,4,9,16,28,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1078,3370575,16,2,0,0,4,6,8,10,0,No,0,0.83,0.79,0,Yes,No,No,Yes,No,Yes
1079,3370722,149,8,647,1030,99,342,765,961,86,No,0,0.13,0.17,0,No,No,No,Yes,No,Yes
1080,3370822,0,2,5,5,0,0,0,0,1,No,0,0,0,0,Yes,No,No,Yes,No,Yes
1081,3370962,1,8,3,5,2,3,5,6,0,No,0,1,0.92,0,No,No,No,Yes,No,Yes
1082,3371092,2,12,4,5,0,1,3,4,3,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1083,3371205,1,8,4,6,0,2,3,4,3,No,0,0.95,0.92,0,No,No,No,Yes,No,Yes
1084,3371291,85,15,0,0,8,20,41,60,10,No,0,0.52,0.57,0,No,No,Yes,Yes,No,Yes
1085,3371335,3,8,45,65,5,21,36,59,11,No,0,0.5,0.46,0,No,No,No,Yes,No,Yes
1086,3371485,2,3,23,31,3,11,18,28,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1087,3371764,27,4,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,Yes
1088,3371803,0,2,8,8,2,2,2,2,0,No,0,0.27,0.26,0,Yes,No,Yes,Yes,No,Yes
1089,3372253,2,30,40,48,1,11,27,41,0,No,0,0.83,0.92,0,No,No,No,Yes,No,Yes
1090,3372323,231,8,0,0,0,0,0,0,0,No,0,0.97,0.96,0,No,No,No,Yes,No,Yes
1091,3372523,1,3,0,0,0,0,3,4,0,No,0,1,0.99,0,No,No,No,Yes,No,Yes
1092,3372531,7,2,33,44,0,10,23,28,0,No,0,0.83,0.85,0,No,No,No,Yes,No,Yes
1093,3372548,0,2,12,16,2,6,8,14,0,No,0,0.97,0.93,0,No,No,No,Yes,No,Yes
1094,3372719,0,2,5,6,0,0,3,3,1,No,0,0.75,0.78,0,No,No,No,Yes,No,Yes
1095,3372790,43,8,104,142,29,64,108,156,40,No,0,0.9,0.92,0,No,No,No,Yes,No,Yes
1096,3372930,0,12,17,26,1,13,27,38,1,No,0,0.7,0.76,0,No,No,Yes,Yes,No,Yes
1097,3373016,-1,2,16,16,3,5,8,9,2,No,0,1,0.95,1,Yes,No,Yes,Yes,No,Yes
1098,3373041,-1,14,161,231,36,127,203,260,22,No,0,0.65,0.71,1,No,No,No,Yes,No,Yes
1099,3373285,2,8,140,188,3,32,93,139,20,No,0,0.12,0.1,0,No,No,Yes,Yes,No,Yes
1100,3373469,8,2,32,48,8,23,44,53,0,No,0,0.93,0.92,0,No,No,No,Yes,No,Yes
1101,3373540,0,8,83,133,2,27,51,65,16,No,0,0.78,0.8,0,No,No,No,Yes,No,Yes
1102,3373564,0,2,45,70,5,24,42,76,3,No,0,0.99,0.96,0,No,No,No,Yes,No,Yes
1103,3374194,2,9,42,54,2,5,33,46,9,No,0,0.7,0.66,0,No,No,No,Yes,No,Yes
1104,3374225,21,8,34,51,6,21,38,50,8,No,0,0.22,0.13,0,No,No,No,Yes,No,Yes
1105,3374255,0,12,36,60,3,17,26,36,0,No,0,0.46,0.4,0,No,No,No,Yes,No,Yes
1106,3374310,23,2,84,126,9,35,67,91,0,No,0,0.92,0.92,0,No,No,No,Yes,No,Yes
1107,3374417,0,9,5,6,4,6,6,6,0,No,0,0.93,0.78,0,No,No,No,Yes,No,Yes
1108,3374588,0,8,3,3,0,1,2,2,1,No,0,0.37,0.34,0,No,No,Yes,Yes,No,Yes
1109,3374589,3,2,2,2,4,7,19,20,1,No,0,0.79,0.61,0,Yes,No,Yes,Yes,No,Yes
1110,3374601,0,2,0,0,3,3,3,3,0,No,0,0.94,0.96,0,No,No,No,Yes,No,Yes
1111,3374724,3,9,2,3,0,2,2,2,0,No,0,0.93,0.78,0,No,No,No,Yes,No,Yes
1112,3375043,-89,8,1290,1662,457,962,1310,1737,81,No,0,0.55,0.74,119,No,No,No,Yes,No,Yes
1113,3375078,1,8,47,73,5,13,30,43,0,No,0,0.78,0.75,0,No,No,No,Yes,No,Yes
1114,3375102,1,4,8,11,3,5,5,6,0,No,0,0.95,0.77,0,No,No,No,Yes,No,Yes
1115,3375315,2,9,8,10,2,4,9,9,0,No,0,0.54,0.48,0,No,No,No,Yes,No,Yes
1116,3375555,20,2,932,1380,2,2,2,4,98,No,0,0.7,0.71,0,No,No,No,Yes,No,Yes
1117,3375643,18,2,24,51,9,22,42,68,2,No,0,0.6,0.71,0,No,No,No,Yes,No,Yes
1118,3375668,8,12,32,32,7,15,26,37,9,No,0,0.7,0.76,0,No,No,No,Yes,No,Yes
1119,3375730,-1,8,33,33,1,6,11,23,5,No,0,0.19,0.49,1,No,No,No,Yes,No,Yes
1120,3375777,0,5,187,261,0,1,1,1,11,No,0,0.65,0.71,0,No,No,No,Yes,No,Yes
1121,3375796,1,8,23,29,2,6,16,25,0,No,0,0.91,0.95,0,No,No,No,Yes,No,Yes
1122,3375847,0,12,8,8,0,1,4,7,0,No,0,0.46,0.4,0,No,No,No,Yes,No,Yes
1123,3375931,11,8,34,58,8,27,58,79,0,No,0,0.97,0.96,0,No,No,No,Yes,No,Yes
1124,3376003,8,8,0,4,0,2,4,5,0,No,0,0.9,0.88,0,No,No,No,Yes,No,Yes
1125,3376288,15,8,163,252,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No,Yes
1126,3376313,54,8,272,323,57,172,257,390,113,No,0,0.87,0.88,0,No,No,No,Yes,No,Yes
1127,3376447,0,2,7,12,0,0,0,0,0,No,0,0.82,0.81,0,No,No,Yes,Yes,No,Yes
1128,3376673,0,12,15,20,1,13,18,22,3,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1129,3376705,11,2,22,22,22,45,74,86,3,No,0,1,0.98,0,No,No,No,Yes,No,Yes
1130,3376728,7,2,24,36,11,19,38,68,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1131,3376778,0,8,40,50,9,19,33,43,2,No,0,0.34,0.57,0,No,No,No,Yes,No,Yes
1132,3376851,0,52,2,3,0,3,8,11,0,No,0,0.99,0.94,0,Yes,No,No,No,No,Yes
1133,3377060,1,2,27,48,9,18,35,42,0,No,0,1,0.99,0,No,No,Yes,Yes,No,Yes
1134,3377181,12,2,42,66,7,25,52,53,12,No,0,0.53,0.53,0,No,No,No,Yes,No,Yes
1135,3377272,1,12,3,4,1,3,4,4,3,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1136,3377276,5,8,0,0,1,3,9,9,2,No,0,0.94,0.8,0,No,No,No,Yes,No,Yes
1137,3377294,0,8,19,26,1,8,10,13,2,No,0,0.9,0.95,0,No,No,No,Yes,No,Yes
1138,3377461,29,8,0,0,0,0,11,11,0,No,0,0.66,0.8,0,No,No,No,Yes,No,Yes
1139,3377941,1,8,165,240,25,82,162,245,28,No,0,0.66,0.64,2,No,No,No,Yes,No,Yes
1140,3377983,19,8,26,39,3,15,29,41,0,No,0,0.93,0.89,0,No,No,No,Yes,No,Yes
1141,3378113,13,2,60,60,6,19,35,46,0,No,0,0.9,0.89,0,No,No,No,Yes,No,Yes
1142,3378129,8,2,60,100,13,34,61,84,0,No,0,1,0.95,0,No,No,No,Yes,No,Yes
1143,3378283,3,2,4,7,0,3,4,6,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1144,3378330,2,3,45,55,7,22,23,23,0,No,0,0.41,0.46,0,Yes,No,No,Yes,No,Yes
1145,3378355,0,2,5,5,0,0,2,2,0,No,0,0.84,0.87,0,No,No,Yes,Yes,No,Yes
1146,3378364,0,2,0,0,0,0,0,0,0,No,0,0.89,0.9,0,No,No,No,Yes,No,Yes
1147,3378388,59,8,645,645,0,381,557,615,5,No,0,0.98,0.97,0,No,No,No,Yes,No,Yes
1148,3378522,70,8,90,135,21,47,93,145,27,No,0,0.97,0.96,0,No,No,Yes,Yes,No,Yes
1149,3378767,7,8,25,40,0,14,36,53,2,No,0,0.84,0.8,0,No,No,No,Yes,No,Yes
1150,3378861,0,8,5,7,0,2,4,5,0,No,0,0,0,0,No,No,Yes,Yes,No,Yes
1151,3378866,1,13,12,16,4,7,7,14,0,No,0,0.82,0.81,0,No,No,No,Yes,No,Yes
1152,3379281,0,,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,Yes
1153,3379438,0,12,11,17,0,1,6,12,0,No,0,0.7,0.76,0,No,No,No,Yes,No,Yes
1154,3379470,0,12,11,11,0,0,0,0,0,No,0,0.48,0.48,0,Yes,No,No,Yes,No,Yes
1155,3379579,0,4,1200,1200,618,5195,11187,17611,1,No,0,0.87,0.9,0,No,No,Yes,Yes,No,Yes
1156,3379600,0,2,77,77,0,0,0,0,0,No,0,0.96,0.92,0,No,No,No,Yes,No,Yes
1157,3379681,2,8,9,15,1,9,13,18,0,No,0,0.18,0.33,0,No,No,No,Yes,No,Yes
1158,3379732,0,8,5,5,0,0,2,6,3,No,0,0.32,0.38,0,No,No,No,Yes,No,Yes
1159,3379769,73,8,372,444,11,125,309,718,23,No,0,0.95,0.92,0,No,No,No,Yes,No,Yes
1160,3379804,2,8,81,117,24,48,62,70,0,No,0,0.78,0.75,0,No,No,No,Yes,No,Yes
1161,3379814,16,8,152,202,12,93,163,244,15,No,0,0.57,0.59,1,No,No,No,Yes,No,Yes
1162,3379877,0,8,4,5,0,0,3,5,1,No,0,0.36,0.44,0,No,No,Yes,Yes,No,Yes
1163,3379890,0,8,49,61,27,41,58,78,4,No,0,0.48,0.52,0,No,No,No,Yes,No,Yes
1164,3379955,2,8,18,24,2,9,25,32,4,No,0,0.96,0.61,0,No,No,No,Yes,No,Yes
1165,3380025,2,2,8,12,3,10,10,12,0,No,0,0.89,0.82,0,No,No,No,Yes,No,Yes
1166,3380172,0,8,57,69,2,13,20,42,0,No,0,0.76,0.84,0,No,No,No,Yes,No,Yes
1167,3380283,19,4,0,0,0,0,0,0,0,No,0,0.22,0.21,0,Yes,No,No,Yes,No,Yes
1168,3380285,4,2,4,4,0,3,5,5,0,No,0,0.54,0.56,0,Yes,No,No,Yes,No,Yes
1169,3380520,0,8,26,26,0,7,14,23,4,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1170,3380581,4,8,60,60,6,16,29,39,0,No,0,0.83,0.86,0,No,No,No,Yes,No,Yes
1171,3380669,2,8,1,2,1,1,2,5,1,No,0,0.85,0.92,0,No,No,No,Yes,No,Yes
1172,3380896,11,2,65,100,10,41,60,105,2,No,0,0.62,0.58,0,No,No,Yes,Yes,No,Yes
1173,3380931,5,8,48,72,8,32,64,99,2,No,0,0.98,0.97,0,No,No,No,Yes,No,Yes
1174,3381058,120,,0,0,21,73,138,217,33,No,0,-99,-99,0,No,No,Yes,No,No,Yes
1175,3381082,0,,0,0,399,740,740,772,4,No,0,-99,-99,0,No,No,No,Yes,No,Yes
1176,3381146,4,11,6,10,2,6,15,21,0,No,0,0.85,0.8,0,No,No,No,Yes,No,Yes
1177,3381153,32,2,166,218,187,363,467,713,20,No,0,0.89,0.87,13,No,No,No,Yes,No,Yes
1178,3381406,9,8,0,0,0,1,2,2,0,No,0,0.64,0.64,0,No,No,No,Yes,No,Yes
1179,3381433,-20,12,330,420,428,451,553,628,117,No,0,0.94,0.88,20,No,No,No,Yes,No,Yes
1180,3381534,-1,8,45,60,3,9,21,73,3,No,0,0.22,0.22,2,No,No,No,Yes,No,Yes
1181,3381549,9,9,42,56,4,19,28,50,16,No,0,0.95,0.89,0,No,No,No,Yes,No,Yes
1182,3381563,0,12,63,83,2,26,40,52,2,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1183,3381569,11,8,100,100,3,14,24,42,2,No,0,1,1,0,No,No,No,Yes,No,Yes
1184,3381699,5,12,16,24,4,13,20,30,0,No,0,0.87,0.8,0,No,No,No,Yes,No,Yes
1185,3381964,1084,8,32,32,1,9,25,29,3,No,0,0.72,0.55,1,No,No,Yes,Yes,No,Yes
1186,3382109,0,12,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1187,3382126,0,2,19,19,0,0,0,0,1,No,0,0.77,0.64,0,No,No,No,Yes,No,Yes
1188,3382298,8,8,12,12,1,7,14,18,3,No,0,1,0.8,0,No,No,No,Yes,No,Yes
1189,3382316,5,8,240,240,29,64,152,262,17,No,0,0.91,0.95,1,No,No,Yes,Yes,No,Yes
1190,3382342,1,8,63,81,1,41,43,55,6,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
1191,3382346,8,9,2,3,1,4,10,17,0,No,0,0.96,0.95,0,No,No,No,Yes,No,Yes
1192,3382408,34,8,372,510,21,117,260,392,54,No,0,0.22,0.22,3,No,No,No,Yes,No,Yes
1193,3382582,0,8,258240,319008,0,0,0,0,18108,No,0,0.89,0.9,0,No,No,Yes,Yes,No,Yes
1194,3382608,2,8,44,57,10,24,34,61,0,No,0,1,0.88,0,No,No,No,Yes,No,Yes
1195,3382659,0,8,22,22,3,4,19,37,3,No,0,0.36,0.44,0,No,No,No,Yes,No,Yes
1196,3382966,0,2,0,0,3,10,15,16,0,No,0,0.99,0.94,0,No,No,No,Yes,No,Yes
